sample_name	flow_rate	nutrient_addition	upstream_downstream	tank	connected_tank	time	marker	replicate	water_filtered	concentration	SampleType			
F3_T2_18S_R2	10	100	Up	F3	F7	T2	18S	R2	250	48.6	sample			
F4_T2_18S_R2	20	200	Up	F4	F8	T2	18S	R2	250	23.8	sample			
F5_T2_18S_R2	40	50	Down	F5	F1	T2	18S	R2	500	59.2	sample			
F7_T2_18S_R2	10	100	Down	F7	F3	T2	18S	R2	500	26.2	sample			
F8_T2_18S_R2	20	200	Down	F8	F4	T2	18S	R2	500	23	sample			
G2_T2_18S_R2	10	100	Up	G2	G6	T2	18S	R2	250	34.2	sample			
G3_T2_18S_R2	30	25	Up	G3	G7	T2	18S	R2	500	46	sample			
G4_T2_18S_R2	30	25	Up	G4	G8	T2	18S	R2	500	30	sample			
G7_T2_18S_R2	30	25	Down	G7	G3	T2	18S	R2	500	25	sample			
G8_T2_18S_R2	30	25	Down	G8	G4	T2	18S	R2	500	54	sample			
H1_T2_18S_R2	20	0	Up	H1	H5	T2	18S	R2	500	54.8	sample			
H2_T2_18S_R2	0	200	Up	H2		T2	18S	R2	500	23.6	sample			
H4_T2_18S_R2	20	50	Up	H4	H8	T2	18S	R2	500	52.8	sample			
H5_T2_18S_R2	20	0	Down	H5	H1	T2	18S	R2	500	52	sample			
H7_T2_18S_R2				H7		T2	18S	R2	500	27.2	sample			
H8_T2_18S_R2	20	50	Down	H8	H4	T2	18S	R2	500	25.4	sample			
I2_T2_18S_R2	10	25	Up	I2	I6	T2	18S	R2	500	23.2	sample			
I5_T2_18S_R2	0	0	Up	I5		T2	18S	R2	500	55	sample			
I6_T2_18S_R2	10	25	Down	I6	I2	T2	18S	R2	500	37.6	sample			
Resv_T2_18S_R2				Resv		T2	18S	R2	500	40.2	resv			
Cont_T2_18S_R2				Cont		T2	18S	R2	500	1.25	blank			
A4_T3_18S_R2	0	50	Up	A4		T3	18S	R2	200	48.2	sample			
B1_T3_18S_R2	40	0	Up	B1	B5	T3	18S	R2	500	43	sample			
B2_T3_18S_R2	10	25	Up	B2	B6	T3	18S	R2	500	49	sample			
B3_T3_18S_R2	30	100	Up	B3	B7	T3	18S	R2	250	83.4	sample			
B4_T3_18S_R2	40	200	Up	B4	B8	T3	18S	R2	250	55.8	sample			
B5_T3_18S_R2	40	0	Down	B5	B1	T3	18S	R2	500	34.6	sample			
B6_T3_18S_R2	10	25	Down	B6	B2	T3	18S	R2	500	29.6	sample			
B7_T3_18S_R2	30	100	Down	B7	B3	T3	18S	R2	250	45.8	sample			
B8_T3_18S_R2	40	200	Down	B8	B4	T3	18S	R2	500	34.6	sample			
C1_T3_18S_R2	0	0	Up	C1		T3	18S	R2	500	28.6	sample			
C2_T3_18S_R2	20	0	Up	C2	C6	T3	18S	R2	500	49	sample			
C3_T3_18S_R2	40	200	Up	C3	C7	T3	18S	R2	120	82.4	sample			
C6_T3_18S_R2	20	0	Down	C6	C2	T3	18S	R2	500	67.6	sample			
C7_T3_18S_R2	40	200	Down	C7	C3	T3	18S	R2	100	31.4	sample			
D1_T3_18S_R2	20	50	Up	D1	D5	T3	18S	R2	150	57.6	sample			
D2_T3_18S_R2	20	200	Up	D2	D6	T3	18S	R2	100	45.4	sample			
D4_T3_18S_R2	0	0	Up	D4		T3	18S	R2	500	26.4	sample			
D5_T3_18S_R2	20	50	Down	D5	D1	T3	18S	R2	500	45.2	sample			
D6_T3_18S_R2	20	200	Down	D6	D2	T3	18S	R2	250	48.6	sample			
E1_T3_18S_R2	30	100	Up	E1	E5	T3	18S	R2	250	27.4	sample			
E2_T3_18S_R2	0	200	Up	E2		T3	18S	R2	250	26.4	sample			
E3_T3_18S_R2	40	0	Up	E3	E7	T3	18S	R2	500	26.6	sample			
E5_T3_18S_R2	30	100	Down	E5	E1	T3	18S	R2	250	29	sample			
E7_T3_18S_R2	40	0	Down	E7	E3	T3	18S	R2	500	30.4	sample			
F1_T3_18S_R2	40	50	Up	F1	F5	T3	18S	R2	150	48.2	sample			
F3_T3_18S_R2	10	100	Up	F3	F7	T3	18S	R2	125	57.8	sample			
F4_T3_18S_R2	20	200	Up	F4	F8	T3	18S	R2	500	66.8	sample			
F5_T3_18S_R2	40	50	Down	F5	F1	T3	18S	R2	125	42.8	sample			
F7_T3_18S_R2	10	100	Down	F7	F3	T3	18S	R2	500	44.6	sample			
F8_T3_18S_R2	20	200	Down	F8	F4	T3	18S	R2	500	21.8	sample			
G2_T3_18S_R2	10	100	Up	G2	G6	T3	18S	R2	500	42.4	sample			
G3_T3_18S_R2	30	25	Up	G3	G7	T3	18S	R2	500	46.2	sample			
G4_T3_18S_R2	30	25	Up	G4	G8	T3	18S	R2	155	45	sample			
G6_T3_18S_R2	10	100	Down	G6	G2	T3	18S	R2	500	41.2	sample			
G7_T3_18S_R2	30	25	Down	G7	G3	T3	18S	R2	500	52.8	sample			
G8_T3_18S_R2	30	25	Down	G8	G4	T3	18S	R2	500	33.8	sample			
H1_T3_18S_R2	20	0	Up	H1	H5	T3	18S	R2	500	38.4	sample			
H2_T3_18S_R2	0	200	Up	H2		T3	18S	R2	500	63.4	sample			
H4_T3_18S_R2	20	50	Up	H4	H8	T3	18S	R2	100	64	sample			
H5_T3_18S_R2	20	0	Down	H5	H1	T3	18S	R2	500	46.2	sample			
H8_T3_18S_R2	20	50	Down	H8	H4	T3	18S	R2	250	79.4	sample			
I2_T3_18S_R2	10	25	Up	I2	I6	T3	18S	R2	500	36.4	sample			
I5_T3_18S_R2	0	0	Up	I5		T3	18S	R2	500	53	sample			
I6_T3_18S_R2	10	25	Down	I6	I2	T3	18S	R2	500	58.6	sample			
Resv_T3_18S_R2				Resv		T3	18S	R2	500	47.6	resv			
Cont_T3_18S_R2				Cont		T3	18S	R2	500	1.01	blank			
A4_T4_18S_R2	0	50	Up	A4		T4	18S	R2	250	44.4	sample			
B1_T4_18S_R2	40	0	Up	B1	B5	T4	18S	R2	500	55.6	sample			
B2_T4_18S_R2	10	25	Up	B2	B6	T4	18S	R2	500	51	sample			
B3_T4_18S_R2	30	100	Up	B3	B7	T4	18S	R2	250	44.2	sample			
B4_T4_18S_R2	40	200	Up	B4	B8	T4	18S	R2	250	13.5	sample			
B5_T4_18S_R2	40	0	Down	B5	B1	T4	18S	R2	500	25.4	sample			
B6_T4_18S_R2	10	25	Down	B6	B2	T4	18S	R2	500	40.8	sample			
B7_T4_18S_R2	30	100	Down	B7	B3	T4	18S	R2	250	48.8	sample			
B8_T4_18S_R2	40	200	Down	B8	B4	T4	18S	R2	500	35	sample			
C1_T4_18S_R2	0	0	Up	C1		T4	18S	R2	385	25.8	sample			
C2_T4_18S_R2	20	0	Up	C2	C6	T4	18S	R2	500	50.4	sample			
C3_T4_18S_R2	40	200	Up	C3	C7	T4	18S	R2	125	26.2	sample			
C6_T4_18S_R2	20	0	Down	C6	C2	T4	18S	R2	500	24.6	sample			
C7_T4_18S_R2	40	200	Down	C7	C3	T4	18S	R2	100	5	sample			
D1_T4_18S_R2	20	50	Up	D1	D5	T4	18S	R2	125	46.4	sample			
D2_T4_18S_R2	20	200	Up	D2	D6	T4	18S	R2	100	58.4	sample			
D4_T4_18S_R2	0	0	Up	D4		T4	18S	R2	500	34.8	sample			
D5_T4_18S_R2	20	50	Down	D5	D1	T4	18S	R2	150	6.92	sample			
D6_T4_18S_R2	20	200	Down	D6	D2	T4	18S	R2	250	48	sample			
E1_T4_18S_R2	30	100	Up	E1	E5	T4	18S	R2	125	8.12	sample			
E2_T4_18S_R2	0	200	Up	E2		T4	18S	R2	150	8.26	sample			
E3_T4_18S_R2	40	0	Up	E3	E7	T4	18S	R2	500	35	sample			
E5_T4_18S_R2	30	100	Down	E5	E1	T4	18S	R2	200	32.6	sample			
E7_T4_18S_R2	40	0	Down	E7	E3	T4	18S	R2	500	28.2	sample			
F1_T4_18S_R2	40	50	Up	F1	F5	T4	18S	R2	100	143	sample			
F3_T4_18S_R2	10	100	Up	F3	F7	T4	18S	R2	250	39.8	sample			
F4_T4_18S_R2	20	200	Up	F4	F8	T4	18S	R2	500	4.24	sample			
F5_T4_18S_R2	40	50	Down	F5	F1	T4	18S	R2	250	61.8	sample			
F7_T4_18S_R2	10	100	Down	F7	F3	T4	18S	R2	500	47	sample			
F8_T4_18S_R2	20	200	Down	F8	F4	T4	18S	R2	250	44.8	sample			
G1_T4_18S_R2	40	50	Up	G1	G5	T4	18S	R2	200	40.2	sample			
G2_T4_18S_R2	10	100	Up	G2	G6	T4	18S	R2	500	37.8	sample			
